[2026-05-17 17:58:23] INFO: NHibernate initialization started.
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.Comment
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.Follow
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.Like
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.Notification
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.Post
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.Story
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.User
[2026-05-17 17:58:24] INFO: Loaded Mapping: BackendApi.Entities.Video
[2026-05-17 17:58:24] INFO: Schema export started.
[2026-05-17 17:58:24] INFO: Schema export completed.
[2026-05-17 17:58:24] INFO: SessionFactory created successfully.
